short_title,ISSN,impact,long_title,nlmuid
Abdom Imaging,0942-8925,0.884,Abdominal Imaging,9303672
ACAD RADIOL,1076-6332,1.47,Academic Radiology,9440159
ACTA RADIOL,0284-1851,1.178,Acta radiologica,8706123
AM J NEURORADIOL,0195-6108,2.406,American Journal of Neuroradiology,8003708
AM J ROENTGENOL,0361-803X,2.384,American Journal of Roentegenology,7708173
ANN NUCL MED,0914-7187,0.79,Annals of Nuclear Medicine,8913398
APPL RADIAT ISOTOPES,0969-8043,1,Applied Radiation and Isotops,9306253
BRAIN TOPOGR,0896-0267,1.489,Brain Topography,8903034
BRIT J RADIOL,0007-1285,1.232,British Journal of Radiology,0373125
CAN ASSOC RADIOL J,0846-5371,0.276,Canadian Association of Radiologists Journal,8812910
CANCER BIOTHER RADIO,1084-9785,1.091,Cancer Biotherapy & Radiopharmaceuticals,9605408
CANCER INVESTIGATION,0735-7907,1.875,Cancer Investigation,8307154
CARDIOVASC INTER RAD,0174-1551,0.952,Cardiovascular and Interventional Radiology,8003538
CHEST,0012-3692,3.118,Chest,0231335
CIRCULATION,0009-7322,12.563,Circulation,0147763
CLIN IMAG,0899-7071,0.772,Clinical Imaging,8911831
CLIN NUCL MED,0363-9762,1.582,Clinical Nuclear Medicine,7611109
CLIN RADIOL,0009-9260,1.514,Clinical Radiology,1306016
COMPUT MED IMAG GRAP,0895-6111,1.09,Computerized Medical Imaging and Graphics,8806104
Curr Opin Biotechnol,0958-1669,6.898,Current Opinions in Biotechnology,9100492
DENTOMAXILLOFAC RAD,0250-832X,0.924,Dento maxillo facial radiology,7609576
EUR J NUCL MED MOL I,1619-7070,3.935,European Journal of Nuclear Medicine and Molecular Imaging,101140988
EUR J RADIOL,0720-048X,1.745,European Journal of Radiology,8106411
EUR RADIOL,0938-7994,2.364,European Radiology,9114774
HEALTH PHYS,0017-9078,0.796,Health Physics,2985093R
HUM BRAIN MAPP,1065-9471,4.815,Human Brain Mapping,9419065
IEEE T MED IMAGING,0278-0062,3.922,IEEE Transactions on Medical Imaging,8310780
